== Status ==
Memory usage on this node: 6.0/8.0 GiB
Using AsyncHyperBand: num_stopped=0
Bracket: Iter 64.000: None | Iter 32.000: None | Iter 16.000: None | Iter 8.000: None | Iter 4.000: None | Iter 2.000: None | Iter 1.000: None
Resources requested: 0/8 CPUs, 0/0 GPUs, 0.0/2.34 GiB heap, 0.0/0.78 GiB objects
Result logdir: /Users/rhythmsyed/ray_results/DEFAULT
Number of trials: 96 (96 TERMINATED)
+---------------------+------------+-------+--------+------------+----------------+--------+------------------+--------------+-------------+
| Trial name          | status     | loc   |     lr |   momentum |   weight_decay |   iter |   total time (s) |   train_loss |    val_loss |
|---------------------+------------+-------+--------+------------+----------------+--------+------------------+--------------+-------------|
| DEFAULT_ec215_00000 | TERMINATED |       | 0.0001 |        0   |         0.0001 |    100 |          193.162 |    0.126212  |   0.149246  |
| DEFAULT_ec215_00001 | TERMINATED |       | 0.001  |        0   |         0.0001 |    100 |          192.307 |    0.776413  |   0.279801  |
| DEFAULT_ec215_00002 | TERMINATED |       | 0.01   |        0   |         0.0001 |    100 |          189.011 |    0.488836  |   0.595682  |
| DEFAULT_ec215_00003 | TERMINATED |       | 0.1    |        0   |         0.0001 |    100 |          196.932 |    0.370521  |   0.479006  |
| DEFAULT_ec215_00004 | TERMINATED |       | 0.0001 |        0.2 |         0.0001 |    100 |          195.531 |    0.0807643 |   0.113116  |
| DEFAULT_ec215_00005 | TERMINATED |       | 0.001  |        0.2 |         0.0001 |    100 |          193.502 |    0.724971  |   0.200937  |
| DEFAULT_ec215_00006 | TERMINATED |       | 0.01   |        0.2 |         0.0001 |    100 |          191.952 |    0.432455  |   0.449903  |
| DEFAULT_ec215_00007 | TERMINATED |       | 0.1    |        0.2 |         0.0001 |    100 |          196.859 |    0.904119  |   0.581533  |
| DEFAULT_ec215_00008 | TERMINATED |       | 0.0001 |        0.4 |         0.0001 |    100 |          196.812 |    0.0611783 |   0.0532367 |
| DEFAULT_ec215_00009 | TERMINATED |       | 0.001  |        0.4 |         0.0001 |    100 |          195.907 |    0.248785  |   0.427651  |
| DEFAULT_ec215_00010 | TERMINATED |       | 0.01   |        0.4 |         0.0001 |    100 |          197.701 |    0.549147  |   0.974579  |
| DEFAULT_ec215_00011 | TERMINATED |       | 0.1    |        0.4 |         0.0001 |    100 |          198.519 |    0.632629  |   0.705914  |
| DEFAULT_ec215_00012 | TERMINATED |       | 0.0001 |        0.6 |         0.0001 |    100 |          205.776 |    0.0714055 |   0.0504579 |
| DEFAULT_ec215_00013 | TERMINATED |       | 0.001  |        0.6 |         0.0001 |    100 |          204.576 |    0.210271  |   0.751053  |
| DEFAULT_ec215_00014 | TERMINATED |       | 0.01   |        0.6 |         0.0001 |    100 |          205.829 |    1.07531   |   0.879508  |
| DEFAULT_ec215_00015 | TERMINATED |       | 0.1    |        0.6 |         0.0001 |    100 |          207.891 |    8.23187   |   9.05405   |
| DEFAULT_ec215_00016 | TERMINATED |       | 0.0001 |        0.8 |         0.0001 |    100 |          203.136 |    0.0654124 |   0.100332  |
| DEFAULT_ec215_00017 | TERMINATED |       | 0.001  |        0.8 |         0.0001 |    100 |          206.052 |    0.227971  |   0.712691  |
| DEFAULT_ec215_00018 | TERMINATED |       | 0.01   |        0.8 |         0.0001 |    100 |          208.468 |    0.310344  |   0.184293  |
| DEFAULT_ec215_00019 | TERMINATED |       | 0.1    |        0.8 |         0.0001 |    100 |          208.264 |    7.47188   |   8.65345   |
| DEFAULT_ec215_00020 | TERMINATED |       | 0.0001 |        0.9 |         0.0001 |    100 |          213.763 |    0.166383  |   0.270224  |
| DEFAULT_ec215_00021 | TERMINATED |       | 0.001  |        0.9 |         0.0001 |    100 |          210.881 |    0.26016   |   0.157484  |
| DEFAULT_ec215_00022 | TERMINATED |       | 0.01   |        0.9 |         0.0001 |    100 |          212.79  |    0.294148  |   0.305705  |
| DEFAULT_ec215_00023 | TERMINATED |       | 0.1    |        0.9 |         0.0001 |    100 |          213.406 |    8.44425   |   8.58499   |
| DEFAULT_ec215_00024 | TERMINATED |       | 0.0001 |        0   |         0.001  |    100 |          196.479 |    0.22401   |   0.219926  |
| DEFAULT_ec215_00025 | TERMINATED |       | 0.001  |        0   |         0.001  |    100 |          196.103 |    0.392887  |   0.785442  |
| DEFAULT_ec215_00026 | TERMINATED |       | 0.01   |        0   |         0.001  |    100 |          201.095 |    0.900221  |   0.439115  |
| DEFAULT_ec215_00027 | TERMINATED |       | 0.1    |        0   |         0.001  |    100 |          203.404 |    0.820492  |   0.941415  |
| DEFAULT_ec215_00028 | TERMINATED |       | 0.0001 |        0.2 |         0.001  |    100 |          207.666 |    0.110334  |   0.116569  |
| DEFAULT_ec215_00029 | TERMINATED |       | 0.001  |        0.2 |         0.001  |    100 |          210.361 |    0.590003  |   0.318702  |
| DEFAULT_ec215_00030 | TERMINATED |       | 0.01   |        0.2 |         0.001  |    100 |          209.421 |    0.552986  |   0.572209  |
| DEFAULT_ec215_00031 | TERMINATED |       | 0.1    |        0.2 |         0.001  |    100 |          211.407 |    0.95832   |   1.25248   |
| DEFAULT_ec215_00032 | TERMINATED |       | 0.0001 |        0.4 |         0.001  |    100 |          209.296 |    0.0407898 |   0.0684503 |
| DEFAULT_ec215_00033 | TERMINATED |       | 0.001  |        0.4 |         0.001  |    100 |          211.333 |    0.303878  |   0.525714  |
| DEFAULT_ec215_00034 | TERMINATED |       | 0.01   |        0.4 |         0.001  |    100 |          210.963 |    0.398625  |   0.768233  |
| DEFAULT_ec215_00035 | TERMINATED |       | 0.1    |        0.4 |         0.001  |    100 |          213.143 |    1.11946   |   1.25801   |
| DEFAULT_ec215_00036 | TERMINATED |       | 0.0001 |        0.6 |         0.001  |    100 |          512.757 |    0.0307312 |   0.0577733 |
| DEFAULT_ec215_00037 | TERMINATED |       | 0.001  |        0.6 |         0.001  |    100 |          519.258 |    0.561724  |   0.754748  |
| DEFAULT_ec215_00038 | TERMINATED |       | 0.01   |        0.6 |         0.001  |    100 |          514.414 |    0.304594  |   0.162161  |
| DEFAULT_ec215_00039 | TERMINATED |       | 0.1    |        0.6 |         0.001  |    100 |          513.112 |    8.39568   |   9.41328   |
| DEFAULT_ec215_00040 | TERMINATED |       | 0.0001 |        0.8 |         0.001  |    100 |          209.431 |    0.0658635 |   0.078089  |
| DEFAULT_ec215_00041 | TERMINATED |       | 0.001  |        0.8 |         0.001  |    100 |          208.145 |    0.535459  |   0.383836  |
| DEFAULT_ec215_00042 | TERMINATED |       | 0.01   |        0.8 |         0.001  |    100 |          210.526 |    0.844888  |   0.918908  |
| DEFAULT_ec215_00043 | TERMINATED |       | 0.1    |        0.8 |         0.001  |    100 |          211.431 |    8.15066   |   9.77054   |
| DEFAULT_ec215_00044 | TERMINATED |       | 0.0001 |        0.9 |         0.001  |    100 |          193.661 |    0.101773  |   0.0773233 |
| DEFAULT_ec215_00045 | TERMINATED |       | 0.001  |        0.9 |         0.001  |    100 |          193.43  |    0.477562  |   0.577429  |
| DEFAULT_ec215_00046 | TERMINATED |       | 0.01   |        0.9 |         0.001  |    100 |          194.968 |    0.592272  |   0.905295  |
| DEFAULT_ec215_00047 | TERMINATED |       | 0.1    |        0.9 |         0.001  |    100 |          195.261 |   11.8096    |   8.58035   |
| DEFAULT_ec215_00048 | TERMINATED |       | 0.0001 |        0   |         0.01   |    100 |          179.291 |    0.159448  |   0.182568  |
| DEFAULT_ec215_00049 | TERMINATED |       | 0.001  |        0   |         0.01   |    100 |          182.946 |    0.380007  |   0.710504  |
| DEFAULT_ec215_00050 | TERMINATED |       | 0.01   |        0   |         0.01   |    100 |          184.764 |    0.396583  |   0.684322  |
| DEFAULT_ec215_00051 | TERMINATED |       | 0.1    |        0   |         0.01   |    100 |          180.834 |    2.47267   |   2.34393   |
| DEFAULT_ec215_00052 | TERMINATED |       | 0.0001 |        0.2 |         0.01   |    100 |          822.426 |    0.0790077 |   0.0944711 |
| DEFAULT_ec215_00053 | TERMINATED |       | 0.001  |        0.2 |         0.01   |    100 |         2631.15  |    0.800019  |   0.248327  |
| DEFAULT_ec215_00054 | TERMINATED |       | 0.01   |        0.2 |         0.01   |    100 |         2629.05  |    0.670894  |   0.917999  |
| DEFAULT_ec215_00055 | TERMINATED |       | 0.1    |        0.2 |         0.01   |    100 |         2628.68  |    7.112     |   8.5645    |
| DEFAULT_ec215_00056 | TERMINATED |       | 0.0001 |        0.4 |         0.01   |    100 |          175.586 |    0.0856972 |   0.0562099 |
| DEFAULT_ec215_00057 | TERMINATED |       | 0.001  |        0.4 |         0.01   |    100 |          175.083 |    0.473464  |   0.500851  |
| DEFAULT_ec215_00058 | TERMINATED |       | 0.01   |        0.4 |         0.01   |    100 |          172.337 |    0.622342  |   0.880053  |
| DEFAULT_ec215_00059 | TERMINATED |       | 0.1    |        0.4 |         0.01   |    100 |          173.527 |   10.9688    |   7.63644   |
| DEFAULT_ec215_00060 | TERMINATED |       | 0.0001 |        0.6 |         0.01   |    100 |          172.585 |    0.0529676 |   0.173954  |
| DEFAULT_ec215_00061 | TERMINATED |       | 0.001  |        0.6 |         0.01   |    100 |          169.589 |    0.794532  |   0.48454   |
| DEFAULT_ec215_00062 | TERMINATED |       | 0.01   |        0.6 |         0.01   |    100 |          172.877 |    0.326854  |   1.20668   |
| DEFAULT_ec215_00063 | TERMINATED |       | 0.1    |        0.6 |         0.01   |    100 |          173.035 |    7.09715   |  12.9034    |
| DEFAULT_ec215_00064 | TERMINATED |       | 0.0001 |        0.8 |         0.01   |    100 |          171.224 |    0.11974   |   0.19406   |
| DEFAULT_ec215_00065 | TERMINATED |       | 0.001  |        0.8 |         0.01   |    100 |          173.182 |    0.309605  |   0.333747  |
| DEFAULT_ec215_00066 | TERMINATED |       | 0.01   |        0.8 |         0.01   |    100 |          171.847 |    0.849856  |   0.468262  |
| DEFAULT_ec215_00067 | TERMINATED |       | 0.1    |        0.8 |         0.01   |    100 |          383.552 |    9.04061   |   6.916     |
| DEFAULT_ec215_00068 | TERMINATED |       | 0.0001 |        0.9 |         0.01   |    100 |         2420.33  |    0.0556804 |   0.0431785 |
| DEFAULT_ec215_00069 | TERMINATED |       | 0.001  |        0.9 |         0.01   |    100 |         4417.3   |    1.32588   |   0.602922  |
| DEFAULT_ec215_00070 | TERMINATED |       | 0.01   |        0.9 |         0.01   |    100 |         4420.97  |    1.11999   |   2.35817   |
| DEFAULT_ec215_00071 | TERMINATED |       | 0.1    |        0.9 |         0.01   |    100 |         4542.51  |    7.92476   |  10.566     |
| DEFAULT_ec215_00072 | TERMINATED |       | 0.0001 |        0   |         0.1    |    100 |          158.392 |    0.236694  |   0.239114  |
| DEFAULT_ec215_00073 | TERMINATED |       | 0.001  |        0   |         0.1    |    100 |          160.557 |    1.02295   |   0.825655  |
| DEFAULT_ec215_00074 | TERMINATED |       | 0.01   |        0   |         0.1    |    100 |          162.421 |    4.56709   |   0.8186    |
| DEFAULT_ec215_00075 | TERMINATED |       | 0.1    |        0   |         0.1    |    100 |        12168.2   |    7.99107   |   9.80297   |
| DEFAULT_ec215_00076 | TERMINATED |       | 0.0001 |        0.2 |         0.1    |    100 |          159.883 |    0.126374  |   0.17985   |
| DEFAULT_ec215_00077 | TERMINATED |       | 0.001  |        0.2 |         0.1    |    100 |          159.796 |    0.397906  |   0.916354  |
| DEFAULT_ec215_00078 | TERMINATED |       | 0.01   |        0.2 |         0.1    |    100 |          158.504 |    0.855265  |   1.96899   |
| DEFAULT_ec215_00079 | TERMINATED |       | 0.1    |        0.2 |         0.1    |    100 |        12328.1   |    9.22922   |  11.2733    |
| DEFAULT_ec215_00080 | TERMINATED |       | 0.0001 |        0.4 |         0.1    |    100 |          158.082 |    0.124599  |   0.0656554 |
| DEFAULT_ec215_00081 | TERMINATED |       | 0.001  |        0.4 |         0.1    |    100 |          178.94  |    0.532309  |   0.603215  |
| DEFAULT_ec215_00082 | TERMINATED |       | 0.01   |        0.4 |         0.1    |    100 |          178.165 |    4.57006   |   0.475492  |
| DEFAULT_ec215_00083 | TERMINATED |       | 0.1    |        0.4 |         0.1    |    100 |        11926.2   |    9.91112   |   9.36197   |
| DEFAULT_ec215_00084 | TERMINATED |       | 0.0001 |        0.6 |         0.1    |    100 |        11605     |    0.0773332 |   0.302213  |
| DEFAULT_ec215_00085 | TERMINATED |       | 0.001  |        0.6 |         0.1    |    100 |          157.907 |    1.20311   |   0.377041  |
| DEFAULT_ec215_00086 | TERMINATED |       | 0.01   |        0.6 |         0.1    |    100 |          163.566 |    7.08988   |   2.55871   |
| DEFAULT_ec215_00087 | TERMINATED |       | 0.1    |        0.6 |         0.1    |    100 |         2889.61  |   10.9447    |   8.50301   |
| DEFAULT_ec215_00088 | TERMINATED |       | 0.0001 |        0.8 |         0.1    |    100 |          152.283 |    0.102179  |   0.119509  |
| DEFAULT_ec215_00089 | TERMINATED |       | 0.001  |        0.8 |         0.1    |    100 |          160.359 |    0.648106  |   0.605574  |
| DEFAULT_ec215_00090 | TERMINATED |       | 0.01   |        0.8 |         0.1    |    100 |         3396.32  |    1.30539   |   4.19223   |
| DEFAULT_ec215_00091 | TERMINATED |       | 0.1    |        0.8 |         0.1    |    100 |         3042.49  |    9.78233   |   9.60915   |
| DEFAULT_ec215_00092 | TERMINATED |       | 0.0001 |        0.9 |         0.1    |    100 |         2479.12  |    0.197151  |   0.0860141 |
| DEFAULT_ec215_00093 | TERMINATED |       | 0.001  |        0.9 |         0.1    |    100 |          402.33  |    0.94525   |   0.805326  |
| DEFAULT_ec215_00094 | TERMINATED |       | 0.01   |        0.9 |         0.1    |    100 |         1552.6   |    9.36608   |  10.4544    |
| DEFAULT_ec215_00095 | TERMINATED |       | 0.1    |        0.9 |         0.1    |    100 |          136.975 |  nan         | nan         |
+---------------------+------------+-------+--------+------------+----------------+--------+------------------+--------------+-------------+


Best trial config: {'epochs': 100, 'lr': 0.0001, 'weight_decay': 0.01, 'momentum': 0.9}
Best trial final validation loss: 0.04317847266793251
Best trial final training loss: 0.05568044260144234
